payment_id,order_id,captured_at,method,international,gross_paise,fee_paise,gst_paise,net_paise,status,settlement_id,refund_id,refund_paise
pay_qeL9crvPrRvj0X,order_lp4KX5Yq8fjQ1V,2026-08-17T21:16:00,upi,False,211100,0,0,211100,captured,setl_khI2WEOWhIfy1Y,,0
pay_r3B1o0phRb6nVG,order_z8PRYFhS0WtYXP,,netbanking,False,6302200,0,0,0,failed,,,0
pay_rUuDYSvPIaHHLo,order_RU3GEknaeNElFa,2026-08-14T17:21:00,upi,False,997800,0,0,997801,captured,setl_QHelNGrAfNpm6i,,0
pay_rXwHlEZJa6DPiE,order_z2IJ3Oezo6COuL,2026-08-25T13:17:00,upi,False,53800,0,0,53800,captured,setl_z4HZt6gN7jgb96,,0
pay_rl3qAS6ekQH9yd,order_9tlLGMAw0tcnKQ,2026-08-21T19:35:00,upi,False,18900,0,0,18900,captured,setl_WUE94O6DcYLRgr,,0
pay_rnzW1KpNMFdG4s,order_4Qtgxqlf6nqqUX,2026-08-28T10:52:00,netbanking,False,1699700,32294,5813,1661593,captured,setl_d0pxD013eJfLlX,,0
pay_roxtoGHKyO2wGb,order_1qy9Csk9AjiJ3G,,wallet,False,128500,0,0,0,failed,,,0
pay_rrTQn4hwi0EIWJ,order_ioMBR6yhwtH0n6,2026-08-06T09:24:00,upi,False,163810,0,0,163810,captured,setl_EdZ7XptdbRQNPS,,0
pay_rtxToXiyYeSW0e,order_aoGSE4IqNs7eSp,2026-08-17T13:30:00,upi,False,219100,0,0,219100,captured,setl_khI2WEOWhIfy1Y,,0
pay_rty4EfBR4xYsvx,order_DcI3r9WhJviZLW,2026-08-08T19:05:00,rupay_debit,False,160800,0,0,160800,captured,setl_fFlVr3pkss1wEn,,0
pay_rykhDSWNZGykcJ,order_kBBJAiFmGYFZY8,2026-08-07T13:59:00,rupay_debit,False,103400,0,0,103400,captured,setl_fFlVr3pkss1wEn,,0
pay_shpDTOnuuNePQf,order_heq22sDB9RhO3y,2026-08-31T11:08:00,netbanking,False,2375800,45140,8125,2322535,captured,setl_IxUcUPUVJrnLSZ,,0
pay_sjla3CsrO920l9,order_zPM4dBlHMho9rj,2026-08-12T18:44:00,upi,False,47700,0,0,47700,captured,setl_DxIUaLPjvGKHD8,,0
pay_syeHES7I24t5Dm,order_Tk7W5nd07xRhoF,2026-08-13T11:39:00,upi,False,232200,0,0,232200,captured,setl_2GtbvmLXF1Flhp,,0
pay_t6ny1O1NKdY6ox,order_l7kUNfYAQh9Cct,2026-08-21T15:38:00,upi,False,48600,0,0,48600,captured,setl_WUE94O6DcYLRgr,,0
pay_tPBZCugIvz2pg6,order_OB0lSLMWFUs04K,2026-08-19T15:25:00,netbanking,False,453000,8607,1549,442844,captured,setl_ajnwbMTAKX6GYx,,0
pay_tUIc6J27rcheev,order_3IFoIxkbcZaQrk,2026-08-22T18:04:00,card,False,166756,3335,600,162821,captured,setl_obuThoBpZlMaHQ,,0
pay_u1zD42C18nSpkW,order_s5h1wAFJTXrHpw,2026-08-18T14:44:00,rupay_debit,False,1120300,0,0,1120300,captured,setl_Yv6pwcjsZc8vE9,rfnd_dwJpBEWBwv3ytG,1120300
pay_u8SNMEj1eaJ4Wy,order_wK5U09LGu7441H,2026-08-22T13:19:00,card,False,654300,13086,3664,637550,captured,setl_obuThoBpZlMaHQ,,0
pay_uTbwgkStNfyCeE,order_G5fnRt5Tg8P07A,2026-08-09T10:12:00,card,False,1493000,29860,5375,1457765,captured,setl_hiSUotqWr1EFET,,0
pay_vLtK0TSrmtLYkd,order_c5nlYchGxukvQ7,2026-08-08T12:29:00,rupay_debit,False,104600,0,0,104600,captured,setl_fFlVr3pkss1wEn,,0
pay_vMyXm9ruTWHuVe,order_aWOnGSIZh3gHRz,2026-08-24T13:48:00,upi,False,37100,0,0,37100,captured,setl_ZcE8RtDQlAvOuI,,0
pay_vsXUXUaOLgydkj,order_M7zgFf28JetJgj,2026-08-20T11:42:00,upi,False,56300,0,0,56300,captured,setl_djyrofTxLrUnhM,,0
pay_wAReQJLjgKPc8Y,order_j9EzIMaw9ZXRcS,2026-08-05T19:57:00,card,False,1559695,31194,5615,1522886,captured,setl_8EzsIjvNEqHCOH,,0
pay_wmiwSSDELQQpUP,order_2YAy2Vya4XhSlj,2026-08-15T22:56:00,upi,False,572600,0,0,572600,captured,setl_QHelNGrAfNpm6i,,0
pay_wvSIdIbQoJnw4L,order_kHmElSjS7fuO45,2026-08-25T10:31:00,rupay_debit,False,39148,0,0,39148,captured,setl_CkSEmp6HIyQYQt,,0
pay_x3YG1dgZsv4WX3,order_rAaWKbPztNTCuy,2026-08-28T09:01:00,wallet,False,249400,4988,898,243514,captured,setl_LnCargH2cPPcg4,,0
pay_xhmYJ79fsBKidc,order_zVS02LL5NWHJbW,2026-08-18T15:38:00,card,False,828400,16568,2982,808850,captured,setl_vUm10To41rSpql,,0
pay_xye0KBNpoL3ntB,order_4WargsIeYTZZyr,2026-08-07T13:56:00,upi,False,62200,0,0,62200,captured,setl_Y3MfcCpw08Rkx3,,0
pay_yOzcZkXC3x27SZ,order_qKRjcZaxGF04pT,2026-08-29T22:46:00,card,False,455600,9112,1640,444848,captured,setl_kfcFOC9SUqcBsg,,0
pay_yULGCCmPDV1UTc,order_FREykGF1LpVlie,2026-08-02T11:02:00,card,False,618900,12378,2228,604294,captured,setl_eMf42AI4clEyN4,,0
pay_z4xxgnJy87ZIqV,order_Y2fCSsU1AB614K,,card,False,490600,0,0,0,failed,,,0
pay_zEFL08bct0G4yn,order_nw0jToLzvdzvoC,2026-08-18T13:55:00,upi,False,69383,0,0,69383,captured,setl_ZT76A8FOzt96vh,,0
pay_zWcvoSIq5V741h,order_hBsWH2UWlQmFvB,2026-08-11T09:58:00,card,True,3469010,104070,18733,3346207,captured,setl_I964cvBdHc1Q4e,,0
pay_zcwUgVPtRrsscW,order_H1fOp5LjV0nl1Y,2026-08-18T20:40:00,netbanking,False,1916300,36410,6554,1873336,captured,setl_sffCoHbN6WAOrQ,,0
pay_zg7i2YlUYBv6oT,order_PkyYoufRwvQkTe,2026-08-06T17:07:00,netbanking,False,1668100,31694,5705,1630701,captured,setl_4HSqDZHvYmBI4A,,0
pay_zgfMlEvAlBKcap,order_tDRXgfSzbvZnaC,2026-08-31T13:11:00,card,False,633500,12670,2281,618549,captured,setl_VbtWk4w2ZSebeS,,0
